league,name,short_name,country,tactical_profile,preferred_formation,matches_total,wins,draws,losses,win_pct,avg_goals_scored,avg_goals_conceded,avg_possession,clean_sheet_pct,btts_pct,over_25_pct
alemanha_bundesliga_2026_2027,Adolf Hütter,A. Hütter,Austria,attacking,4-4-2,11,7,2,2,63.6,3.91,1.73,57.5,45.5,45.5,81.8
alemanha_bundesliga_2026_2027,Albert Riera,A. Riera,Spain,attacking,4-2-3-1,54,18,15,21,33.3,1.78,1.91,52.49,20.4,70.4,68.5
alemanha_bundesliga_2026_2027,Alexander Blessin,A. Blessin,Germany,defensive,3-4-2-1,38,7,10,21,18.4,0.87,1.74,45.21,15.8,55.3,57.9
alemanha_bundesliga_2026_2027,Carles Martínez,C. Martínez,Spain,attacking,4-2-3-1,10,8,0,2,80.0,3.2,0.8,57.3,50.0,50.0,100.0
alemanha_bundesliga_2026_2027,Christian Ilzer,C. Ilzer,Austria,attacking,4-2-3-1,48,25,9,14,52.1,2.48,1.58,55.31,25.0,62.5,79.2
alemanha_bundesliga_2026_2027,Daniel Thioune,D. Thioune,Germany,balanced,4-2-3-1,46,15,10,21,32.6,1.37,1.61,50.95,21.7,47.8,54.3
alemanha_bundesliga_2026_2027,Dieter Hecking,D. Hecking,Germany,balanced,4-2-3-1,38,8,9,21,21.1,1.45,1.89,46.26,10.5,68.4,63.2
alemanha_bundesliga_2026_2027,Eugen Polanski,E. Polanski,Poland,attacking,4-2-3-1,50,20,12,18,40.0,2.08,1.54,49.29,32.0,50.0,68.0
alemanha_bundesliga_2026_2027,Frank Schmidt,F. Schmidt,Germany,attacking,4-2-3-1,45,11,9,25,24.4,1.76,1.98,43.56,8.9,60.0,68.9
alemanha_bundesliga_2026_2027,Julian Schuster,J. Schuster,Germany,attacking,4-2-3-1,63,33,11,19,52.4,1.75,1.3,49.07,25.4,57.1,61.9
alemanha_bundesliga_2026_2027,Kasper Hjulmand,K. Hjulmand,Denmark,attacking,3-4-2-1,51,25,13,13,49.0,1.88,1.33,57.29,31.4,54.9,52.9
alemanha_bundesliga_2026_2027,Manuel Baum,M. Baum,Germany,attacking,3-4-2-1,44,18,8,18,40.9,1.75,1.7,44.88,20.5,56.8,61.4
alemanha_bundesliga_2026_2027,Marie-Louise Eta,M. Eta,Germany,balanced,3-4-2-1,37,12,9,16,32.4,1.43,1.68,40.81,21.6,62.2,64.9
alemanha_bundesliga_2026_2027,Martín Demichelis,M. Demichelis,Argentina,balanced,4-2-3-1,47,16,9,22,34.0,1.38,1.43,48.6,21.3,57.4,63.8
alemanha_bundesliga_2026_2027,Mauro Lustrinelli,M. Lustrinelli,Switzerland,attacking,4-2-2-2,52,29,7,16,55.8,2.46,1.54,46.33,13.5,73.1,75.0
alemanha_bundesliga_2026_2027,Merlin Polzin,M. Polzin,Germany,balanced,3-4-2-1,45,14,13,18,31.1,1.27,1.6,47.11,17.8,64.4,60.0
alemanha_bundesliga_2026_2027,Miron Muslić,M. Muslić,Austria,balanced,4-2-3-1,14,7,1,6,50.0,1.64,1.57,48.9,35.7,28.6,64.3
alemanha_bundesliga_2026_2027,Niko Kovač,N. Kovač,Croatia,attacking,3-4-2-1,55,32,11,12,58.2,2.02,1.18,54.11,38.2,50.9,56.4
alemanha_bundesliga_2026_2027,Ole Werner,O. Werner,Germany,attacking,4-3-3,38,23,5,10,60.5,2.03,1.39,54.11,28.9,63.2,71.1
alemanha_bundesliga_2026_2027,Ralf Kettemann,R. Kettemann,Germany,attacking,3-4-2-1,15,9,3,3,60.0,2.93,1.27,52.0,26.7,60.0,66.7
alemanha_bundesliga_2026_2027,René Wagner,R. Wagner,Germany,attacking,4-2-3-1,45,15,12,18,33.3,1.89,1.76,47.95,13.3,77.8,73.3
alemanha_bundesliga_2026_2027,Sebastian Hoeneß,S. Hoeneß,Germany,attacking,4-2-3-1,62,35,10,17,56.5,2.27,1.37,57.76,30.6,54.8,71.0
alemanha_bundesliga_2026_2027,Urs Fischer,U. Fischer,Switzerland,attacking,3-5-2,59,27,14,18,45.8,1.92,1.19,45.83,32.2,47.5,52.5
alemanha_bundesliga_2026_2027,Vincent Kompany,V. Kompany,Belgium,attacking,4-2-3-1,63,52,7,4,82.5,3.49,1.1,65.35,31.7,68.3,88.9
alemanha_bundesliga_2026_2027,Vincent Wagner,V. Wagner,Germany,attacking,4-2-3-1,14,10,2,2,71.4,2.86,1.71,50.88,21.4,71.4,71.4
