league,name,short_name,country,tactical_profile,preferred_formation,matches_total,wins,draws,losses,win_pct,avg_goals_scored,avg_goals_conceded,avg_possession,clean_sheet_pct,btts_pct,over_25_pct
arabia_saudita_pro_league_2026_2027,Angelo Bozzetti,A. Bozzetti,,balanced,4-2-3-1,34,8,11,15,23.5,1.29,1.68,48.85,20.6,61.8,44.1
arabia_saudita_pro_league_2026_2027,Ange Postecoglou,A. Postecoglou,Australia,attacking,4-4-1-1,9,5,0,4,55.6,2.0,1.44,53.43,33.3,55.6,77.8
arabia_saudita_pro_league_2026_2027,Arthur Papas,A. Papas,Australia,balanced,4-2-3-1,69,28,18,23,40.6,1.64,1.39,52.94,21.7,66.7,60.9
arabia_saudita_pro_league_2026_2027,Brendan Rodgers,B. Rodgers,Northern Ireland,attacking,3-1-4-2,41,27,9,5,65.9,2.27,0.93,59.83,31.7,61.0,63.4
arabia_saudita_pro_league_2026_2027,Bruno Lage,B. Lage,Portugal,balanced,4-4-2,9,4,2,3,44.4,1.44,0.89,49.2,33.3,44.4,33.3
arabia_saudita_pro_league_2026_2027,Christophe Galtier,C. Galtier,France,defensive,4-4-2,11,7,1,3,63.6,1.36,0.64,49.12,54.5,18.2,27.3
arabia_saudita_pro_league_2026_2027,Damir Burić,D. Burić,Croatia,defensive,4-2-3-1,7,0,2,5,0.0,0.71,1.86,50.0,14.3,57.1,57.1
arabia_saudita_pro_league_2026_2027,Des Buckingham,D. Buckingham,England,balanced,4-2-3-1,42,11,10,21,26.2,1.21,1.74,46.82,14.3,57.1,61.9
arabia_saudita_pro_league_2026_2027,Fabiano José Costa Flora,F. J. C. Flora,Portugal,,,0,0,0,0,,,,,,,
arabia_saudita_pro_league_2026_2027,Fábio Carille,F. Carille,Brazil,defensive,4-2-3-1,43,7,15,21,16.3,0.88,1.7,46.48,20.9,53.5,48.8
arabia_saudita_pro_league_2026_2027,Fathi Al Jabal,F. A. Jabal,Tunisia,defensive,5-4-1,34,5,5,24,14.7,0.79,2.06,42.15,11.8,47.1,52.9
arabia_saudita_pro_league_2026_2027,Giovanni Solinas,G. Solinas,Italy,balanced,4-1-4-1,6,1,2,3,16.7,1.17,1.83,49.0,16.7,66.7,50.0
arabia_saudita_pro_league_2026_2027,Gus Poyet,G. Poyet,Uruguay,balanced,4-4-2,34,10,7,17,29.4,1.59,1.82,51.03,11.8,64.7,67.6
arabia_saudita_pro_league_2026_2027,Jalel Kadri,J. Kadri,Tunisia,balanced,4-3-3,39,12,11,16,30.8,1.1,1.62,46.18,12.8,59.0,56.4
arabia_saudita_pro_league_2026_2027,Jens Wissing,J. Wissing,Germany,balanced,4-2-3-1,69,29,19,21,42.0,1.54,1.42,54.94,24.6,55.1,53.6
arabia_saudita_pro_league_2026_2027,Jorge Alberto Lobo Mendonça,J. A. L. Mendonça,Portugal,,,0,0,0,0,,,,,,,
arabia_saudita_pro_league_2026_2027,Jorge Jesus,J. Jesus,Portugal,attacking,4-4-2,35,29,2,4,82.9,2.66,0.8,58.43,51.4,48.6,62.9
arabia_saudita_pro_league_2026_2027,Jose Manuel Gomes,J. M. Gomes,Portugal,balanced,3-4-1-2,41,9,15,17,22.0,1.1,1.61,46.92,24.4,58.5,43.9
arabia_saudita_pro_league_2026_2027,Khaled Al Atawi,K. A. Atawi,Saudi Arabia,defensive,4-2-3-1,6,0,3,3,0.0,0.17,1.33,44.83,33.3,16.7,33.3
arabia_saudita_pro_league_2026_2027,Marino Pušić,M. Pušić,Netherlands,balanced,4-3-3,10,3,2,5,30.0,1.6,1.8,52.4,30.0,50.0,70.0
arabia_saudita_pro_league_2026_2027,Matthias Jaissle,M. Jaissle,Germany,attacking,4-2-3-1,47,30,10,7,63.8,2.0,1.0,50.89,40.4,57.4,59.6
arabia_saudita_pro_league_2026_2027,Maurício Dulac,M. Dulac,Brazil,balanced,4-1-4-1,41,8,12,21,19.5,1.05,1.98,41.24,14.6,61.0,53.7
arabia_saudita_pro_league_2026_2027,Nestor El Maestro,N. E. Maestro,England,defensive,4-1-4-1,34,3,7,24,8.8,0.94,2.24,45.06,11.8,64.7,67.6
arabia_saudita_pro_league_2026_2027,Pedro Emanuel,P. Emanuel,Portugal,balanced,4-2-3-1,57,18,17,22,31.6,1.19,1.35,47.11,26.3,50.9,47.4
arabia_saudita_pro_league_2026_2027,Pericles Chamusca,P. Chamusca,Brazil,attacking,4-3-3,34,15,8,11,44.1,1.74,1.35,52.09,17.6,64.7,52.9
arabia_saudita_pro_league_2026_2027,Saad Ali Al Shehri,S. A. A. Shehri,Saudi Arabia,balanced,4-2-3-1,34,14,8,12,41.2,1.5,1.62,48.94,26.5,55.9,58.8
arabia_saudita_pro_league_2026_2027,Sérgio Conceição,S. Conceição,Portugal,balanced,4-2-3-1,34,16,7,11,47.1,1.62,1.41,58.03,26.5,58.8,50.0
arabia_saudita_pro_league_2026_2027,Simone Inzaghi,S. Inzaghi,Italy,attacking,4-3-3,44,32,10,2,72.7,2.48,0.86,59.02,45.5,50.0,59.1
arabia_saudita_pro_league_2026_2027,Thierry Oleksiak,T. Oleksiak,France,balanced,4-4-2,34,12,9,13,35.3,1.26,1.41,52.68,17.6,64.7,52.9
arabia_saudita_pro_league_2026_2027,Thomas Letsch,T. Letsch,Germany,balanced,4-4-2,9,3,4,2,33.3,1.33,1.11,51.17,44.4,44.4,44.4
arabia_saudita_pro_league_2026_2027,Žarko Lazetić,Z. Lazetić,Serbia,defensive,4-1-4-1,6,0,4,2,0.0,0.83,1.17,55.2,50.0,50.0,50.0
