league,name,short_name,country,tactical_profile,preferred_formation,matches_total,wins,draws,losses,win_pct,avg_goals_scored,avg_goals_conceded,avg_possession,clean_sheet_pct,btts_pct,over_25_pct
argentina_primera_division_2026,Alejandro Schiapparelli,A. Schiapparelli,Argentina,defensive,4-2-3-1,12,3,6,3,25.0,0.75,0.92,44.75,58.3,33.3,25.0
argentina_primera_division_2026,Alexander Medina,A. Medina,Uruguay,defensive,4-2-3-1,50,21,13,16,42.0,1.08,0.78,53.03,42.0,36.0,26.0
argentina_primera_division_2026,Alfredo Berti,A. Berti,Argentina,balanced,5-3-2,44,20,15,9,45.5,1.43,1.0,46.72,29.5,61.4,50.0
argentina_primera_division_2026,Ariel Gustavo Pereyra,A. G. Pereyra,Argentina,balanced,4-2-3-1,14,6,1,7,42.9,1.21,1.5,49.79,14.3,57.1,64.3
argentina_primera_division_2026,Ariel Pereyra,A. Pereyra,Argentina,balanced,4-2-3-1,28,15,2,11,53.6,1.14,1.04,39.22,42.9,32.1,39.3
argentina_primera_division_2026,Carlos Matheu,C. Matheu,Argentina,attacking,4-2-3-1,3,3,0,0,100.0,2.33,0.67,54.0,33.3,66.7,66.7
argentina_primera_division_2026,Damián Ayude,D. Ayude,Argentina,defensive,5-3-2,36,11,14,11,30.6,0.89,0.94,42.17,30.6,50.0,27.8
argentina_primera_division_2026,Dario Franco,D. Franco,Argentina,balanced,4-4-2,23,10,4,9,43.5,1.13,1.17,45.35,30.4,43.5,39.1
argentina_primera_division_2026,Diego Dabove,D. Dabove,Argentina,balanced,4-4-2,45,14,20,11,31.1,1.04,0.8,44.26,37.8,44.4,24.4
argentina_primera_division_2026,Diego Flores,D. Flores,Argentina,defensive,3-4-2-1,33,12,9,12,36.4,0.88,0.82,49.73,42.4,33.3,24.2
argentina_primera_division_2026,Diego Hernán Martínez,D. H. Martínez,Argentina,defensive,4-2-3-1,39,11,16,12,28.2,0.95,0.9,53.41,41.0,41.0,28.2
argentina_primera_division_2026,Eduardo Coudet,E. Coudet,Argentina,balanced,4-2-3-1,50,20,11,19,40.0,1.22,1.0,62.59,34.0,42.0,34.0
argentina_primera_division_2026,Facundo Sava,F. Sava,Argentina,balanced,4-4-2,35,14,4,17,40.0,1.03,1.29,45.93,28.6,42.9,42.9
