league,name,short_name,country,tactical_profile,preferred_formation,matches_total,wins,draws,losses,win_pct,avg_goals_scored,avg_goals_conceded,avg_possession,clean_sheet_pct,btts_pct,over_25_pct
brasileirao_serie_a_2026,Abel Ferreira,A. Ferreira,Portugal,attacking,4-2-3-1,64,40,14,10,62.5,1.77,0.81,52.84,37.5,54.7,51.6
brasileirao_serie_a_2026,Artur Jorge,A. Jorge,Portugal,balanced,4-2-3-1,66,30,22,14,45.5,1.41,1.02,50.69,40.9,50.0,50.0
brasileirao_serie_a_2026,Cuca,Cuca,Brazil,balanced,4-2-3-1,66,20,22,24,30.3,1.29,1.32,50.32,27.3,54.5,51.5
brasileirao_serie_a_2026,Dorival Júnior,D. Júnior,Brazil,balanced,4-2-3-1,64,25,16,23,39.1,1.16,1.11,52.83,34.4,42.2,37.5
brasileirao_serie_a_2026,Eduardo Dominguez,E. Dominguez,Argentina,balanced,3-4-2-1,64,23,16,25,35.9,1.19,1.19,52.75,29.7,42.2,43.8
brasileirao_serie_a_2026,Fábio Matias,F. Matias,Brazil,balanced,4-3-3,22,5,6,11,22.7,1.32,1.64,43.71,18.2,59.1,50.0
brasileirao_serie_a_2026,Fernando Diniz,F. Diniz,Brazil,balanced,4-2-3-1,65,23,20,22,35.4,1.09,1.09,56.47,35.4,49.2,35.4
brasileirao_serie_a_2026,Fernando Seabra,F. Seabra,Brazil,balanced,4-2-3-1,20,7,6,7,35.0,1.2,1.3,39.75,30.0,40.0,40.0
brasileirao_serie_a_2026,Franclim Carvalho,F. Carvalho,Portugal,balanced,4-2-3-1,68,31,18,19,45.6,1.62,1.18,51.82,29.4,50.0,52.9
brasileirao_serie_a_2026,Jair Ventura,J. Ventura,Brazil,balanced,4-3-3,58,19,16,23,32.8,1.03,1.36,42.16,34.5,43.1,39.7
brasileirao_serie_a_2026,Léo Condé,L. Condé,Brazil,balanced,4-2-3-1,20,6,6,8,30.0,1.3,1.55,42.0,10.0,60.0,50.0
brasileirao_serie_a_2026,Leonardo Jardim,L. Jardim,Portugal,attacking,4-2-3-1,66,41,16,9,62.1,2.0,0.8,59.58,43.9,47.0,54.5
brasileirao_serie_a_2026,Luís Castro,L. Castro,Portugal,balanced,4-2-3-1,68,25,18,25,36.8,1.28,1.21,48.66,26.5,52.9,42.6
brasileirao_serie_a_2026,Luis Zubeldia,L. Zubeldia,Argentina,balanced,4-2-3-1,67,33,15,19,49.3,1.43,1.07,56.0,32.8,52.2,44.8
brasileirao_serie_a_2026,Márcio Goiano,M. Goiano,Brazil,defensive,4-2-3-1,53,8,18,27,15.1,0.87,1.62,48.08,22.6,50.9,47.2
brasileirao_serie_a_2026,Mauricio Barbieri,M. Barbieri,Brazil,balanced,3-4-2-1,61,21,14,26,34.4,1.08,1.31,45.22,36.1,36.1,41.0
brasileirao_serie_a_2026,Mozart Santos,M. Santos,Brazil,balanced,4-2-3-1,56,17,17,22,30.4,1.02,1.07,44.73,30.4,44.6,35.7
brasileirao_serie_a_2026,Odair Hellmann,O. Hellmann,Brazil,balanced,3-4-2-1,22,9,5,8,40.9,1.14,0.95,49.25,31.8,45.5,40.9
brasileirao_serie_a_2026,Paulo Pezzolano,P. Pezzolano,Uruguay,balanced,4-2-3-1,58,18,17,23,31.0,1.21,1.41,51.36,19.0,60.3,46.6
brasileirao_serie_a_2026,Pedro Emanuel,P. Emanuel,Portugal,balanced,4-2-3-1,37,11,9,17,29.7,1.22,1.54,45.38,21.6,51.4,51.4
brasileirao_serie_a_2026,Rafael Guanaes,R. Guanaes,Brazil,balanced,4-2-3-1,64,28,18,18,43.8,1.45,1.09,50.75,23.4,56.2,46.9
brasileirao_serie_a_2026,Rafael Lacerda,R. Lacerda,Brazil,balanced,3-4-1-2,4,2,0,2,50.0,1.0,1.0,33.67,25.0,25.0,25.0
brasileirao_serie_a_2026,Renato Portaluppi,R. Portaluppi,Brazil,balanced,4-2-3-1,62,21,12,29,33.9,1.4,1.53,54.27,17.7,54.8,59.7
brasileirao_serie_a_2026,Rogério Ceni,R. Ceni,Brazil,balanced,4-3-3,62,27,14,21,43.5,1.37,1.27,55.82,29.0,56.5,53.2
brasileirao_serie_a_2026,Thiago Carpini,T. Carpini,Brazil,balanced,4-2-3-1,61,24,15,22,39.3,1.18,1.3,46.08,34.4,44.3,45.9
brasileirao_serie_a_2026,Vagner Mancini,V. Mancini,Brazil,balanced,4-2-3-1,66,27,11,28,40.9,1.32,1.3,49.14,27.3,53.0,51.5
