league,name,short_name,country,tactical_profile,preferred_formation,matches_total,wins,draws,losses,win_pct,avg_goals_scored,avg_goals_conceded,avg_possession,clean_sheet_pct,btts_pct,over_25_pct
brasileirao_serie_b_2026,Alexsandro de Souza,Alex,Brazil,balanced,4-2-3-1,50,17,16,17,34.0,1.24,1.24,44.89,24.0,58.0,44.0
brasileirao_serie_b_2026,Allan Rodrigo Aal,A. R. Aal,Brazil,balanced,4-2-3-1,29,11,8,10,37.9,1.21,1.07,44.88,20.7,55.2,48.3
brasileirao_serie_b_2026,Anderson Silva,A. Silva,Brazil,defensive,3-4-3,3,0,1,2,0.0,0.33,1.33,48.67,0.0,33.3,0.0
brasileirao_serie_b_2026,Cauan,Cauan,Brazil,balanced,4-2-3-1,17,4,4,9,23.5,1.06,1.41,48.88,35.3,47.1,47.1
brasileirao_serie_b_2026,Cláudio Tencati,C. Tencati,Brazil,balanced,4-2-3-1,43,13,12,18,30.2,1.09,1.23,47.79,23.3,51.2,39.5
brasileirao_serie_b_2026,Daniel Paulista,D. Paulista,Brazil,balanced,4-2-3-1,33,14,7,12,42.4,1.12,1.27,52.75,27.3,45.5,39.4
brasileirao_serie_b_2026,Douglas Gonzaga Leite,D. G. Leite,Brazil,balanced,4-2-3-1,6,2,2,2,33.3,1.0,1.33,53.8,33.3,50.0,50.0
brasileirao_serie_b_2026,Edson Boaro,E. Boaro,Brazil,,,0,0,0,0,,,,,,,
brasileirao_serie_b_2026,Eduardo Baptista,E. Baptista,Brazil,balanced,3-4-3,45,21,13,11,46.7,1.07,0.84,51.88,46.7,40.0,22.2
brasileirao_serie_b_2026,Eduardo Barroca,E. Barroca,Brazil,balanced,4-3-3,18,5,6,7,27.8,1.44,1.72,52.89,16.7,61.1,61.1
brasileirao_serie_b_2026,Eduardo Barros,E. Barros,Brazil,balanced,3-4-2-1,42,13,20,9,31.0,1.05,0.95,48.61,31.0,50.0,28.6
brasileirao_serie_b_2026,Eduardo Souza,E. Souza,Brazil,balanced,4-2-3-1,16,4,8,4,25.0,1.0,1.0,45.75,25.0,62.5,37.5
brasileirao_serie_b_2026,Enderson Moreira,E. Moreira,Brazil,balanced,4-2-3-1,47,22,15,10,46.8,1.55,0.81,48.61,38.3,46.8,48.9
brasileirao_serie_b_2026,Fábio Matias,F. Matias,Brazil,balanced,4-1-4-1,48,19,11,18,39.6,1.31,1.29,48.43,31.2,47.9,45.8
brasileirao_serie_b_2026,Fernando Seabra,F. Seabra,Brazil,balanced,4-2-3-1,45,17,14,14,37.8,1.16,1.07,41.8,35.6,40.0,40.0
brasileirao_serie_b_2026,Gilmar Dal Pozzo,G. D. Pozzo,Brazil,balanced,4-2-3-1,11,3,4,4,27.3,1.45,1.36,55.36,18.2,72.7,63.6
brasileirao_serie_b_2026,Gilson Kleina,G. Kleina,Brazil,defensive,4-2-3-1,6,1,0,5,16.7,0.5,1.67,36.75,16.7,16.7,16.7
