league,name,short_name,country,tactical_profile,preferred_formation,matches_total,wins,draws,losses,win_pct,avg_goals_scored,avg_goals_conceded,avg_possession,clean_sheet_pct,btts_pct,over_25_pct
eredivisie_2026_2027,Anthony Correia,A. Correia,Netherlands,defensive,4-2-3-1,4,1,0,3,25.0,0.25,0.75,59.0,25.0,0.0,0.0
eredivisie_2026_2027,Anthony Correia,A. Correia,Netherlands,balanced,3-4-2-1,43,10,11,22,23.3,1.33,1.74,45.05,14.0,62.8,58.1
eredivisie_2026_2027,Carl Hoefkens,C. Hoefkens,Belgium,balanced,4-2-3-1,40,9,11,20,22.5,1.07,1.7,49.57,15.0,50.0,52.5
eredivisie_2026_2027,Danny Buijs,D. Buijs,Netherlands,balanced,4-2-3-1,43,16,7,20,37.2,1.49,1.81,42.51,9.3,76.7,69.8
eredivisie_2026_2027,Dick Lukkien,D. Lukkien,Netherlands,balanced,4-2-3-1,46,18,7,21,39.1,1.39,1.54,50.59,26.1,56.5,60.9
eredivisie_2026_2027,Dick Schreuder,D. Schreuder,Netherlands,attacking,3-4-2-1,48,21,13,14,43.8,2.17,1.56,55.74,14.6,79.2,75.0
eredivisie_2026_2027,Ernest Faber,E. Faber,Netherlands,balanced,4-2-3-1,34,5,4,25,14.7,1.03,2.5,44.71,5.9,50.0,70.6
eredivisie_2026_2027,Giovanni van Bronckhorst,G. v. Bronckhorst,Netherlands,attacking,4-2-3-1,9,7,2,0,77.8,2.89,1.11,57.62,22.2,77.8,88.9
eredivisie_2026_2027,Henk Brugge,H. Brugge,Netherlands,balanced,3-4-2-1,7,2,0,5,28.6,1.57,2.43,46.4,0.0,71.4,85.7
eredivisie_2026_2027,Henry van der Vegt,H. v. d. Vegt,Netherlands,balanced,4-2-3-1,42,11,10,21,26.2,1.26,2.1,43.05,16.7,64.3,61.9
eredivisie_2026_2027,Jeroen Rijsdijk,J. Rijsdijk,Netherlands,attacking,4-2-3-1,6,3,1,2,50.0,1.83,1.33,50.33,16.7,50.0,66.7
eredivisie_2026_2027,Johan Plat,J. Plat,Netherlands,balanced,4-3-3,6,2,0,4,33.3,1.17,1.67,61.0,16.7,66.7,66.7
eredivisie_2026_2027,Johan Plat,J. Plat,Netherlands,balanced,4-3-3,9,2,0,7,22.2,1.22,2.44,51.5,11.1,77.8,77.8
eredivisie_2026_2027,John Stegeman,J. Stegeman,Netherlands,attacking,4-4-2,14,7,3,4,50.0,2.07,1.36,40.91,35.7,64.3,64.3
eredivisie_2026_2027,John van den Brom,J. v. d. Brom,Netherlands,attacking,4-2-3-1,49,22,16,11,44.9,1.88,1.22,55.64,22.4,63.3,57.1
eredivisie_2026_2027,Joseph Oosting,J. Oosting,Netherlands,attacking,4-2-3-1,11,7,1,3,63.6,4.18,1.45,53.2,27.3,63.6,90.9
eredivisie_2026_2027,Kevin Van Dessel,K. V. Dessel,Belgium,,,0,0,0,0,,,,,,,
eredivisie_2026_2027,Leeroy Echteld,L. Echteld,Netherlands,attacking,4-2-3-1,57,29,14,14,50.9,1.91,1.33,54.2,33.3,56.1,64.9
eredivisie_2026_2027,Marinus Dijkhuizen,M. Dijkhuizen,Netherlands,attacking,4-2-3-1,3,0,1,2,0.0,2.0,3.33,62.0,0.0,100.0,100.0
eredivisie_2026_2027,Maurice Steijn,M. Steijn,Netherlands,balanced,4-2-3-1,34,12,7,15,35.3,1.18,1.82,47.09,32.4,44.1,52.9
eredivisie_2026_2027,Melvin Boel,M. Boel,Netherlands,balanced,4-2-3-1,42,10,15,17,23.8,1.43,1.6,49.21,23.8,57.1,61.9
eredivisie_2026_2027,Michel,Michel,Spain,balanced,4-3-3,55,21,18,16,38.2,1.53,1.36,53.8,20.0,63.6,54.5
eredivisie_2026_2027,Oscar Garcia,O. Garcia,Spain,balanced,4-3-3,57,23,18,16,40.4,1.6,1.37,53.88,26.3,57.9,57.9
eredivisie_2026_2027,Peter Bosz,P. Bosz,Netherlands,attacking,4-2-3-1,51,34,8,9,66.7,2.86,1.47,59.6,15.7,80.4,84.3
eredivisie_2026_2027,Rick Kruys,R. Kruys,Netherlands,balanced,4-2-3-1,36,9,8,19,25.0,1.06,1.61,45.53,8.3,61.1,61.1
eredivisie_2026_2027,Robin Peter,R. Peter,Germany,attacking,4-4-2,9,4,2,3,44.4,2.44,1.56,47.83,33.3,55.6,77.8
eredivisie_2026_2027,Robin van Persie,R. v. Persie,Netherlands,attacking,4-2-3-1,44,22,8,14,50.0,1.93,1.48,52.3,25.0,61.4,61.4
eredivisie_2026_2027,Robin Veldman,R. Veldman,Netherlands,attacking,4-2-3-1,43,18,12,13,41.9,1.88,1.67,51.68,14.0,67.4,72.1
eredivisie_2026_2027,Rogier Meijer,R. Meijer,Netherlands,attacking,4-2-3-1,12,5,3,4,41.7,2.42,1.17,49.8,41.7,50.0,66.7
eredivisie_2026_2027,Ron Jans,R. Jans,Netherlands,balanced,4-2-3-1,50,21,11,18,42.0,1.56,1.28,46.11,22.0,60.0,50.0
eredivisie_2026_2027,Ruben den Uil,R. d. Uil,Netherlands,balanced,4-3-3,42,17,8,17,40.5,1.62,1.57,47.58,19.0,66.7,66.7
eredivisie_2026_2027,Sander Duits,S. Duits,Netherlands,balanced,4-4-2,12,2,7,3,16.7,1.08,1.08,51.38,16.7,66.7,33.3
eredivisie_2026_2027,Ulrich Landvreugd,U. Landvreugd,Netherlands,,,0,0,0,0,,,,,,,
