league,name,short_name,country,tactical_profile,preferred_formation,matches_total,wins,draws,losses,win_pct,avg_goals_scored,avg_goals_conceded,avg_possession,clean_sheet_pct,btts_pct,over_25_pct
france_ligue_1_2026_2027,Alexandre Dujeux,A. Dujeux,France,balanced,3-4-2-1,61,26,13,22,42.6,1.44,1.18,45.0,34.4,47.5,45.9
france_ligue_1_2026_2027,Antoine Kombouare,A. Kombouare,France,balanced,4-3-3,36,12,11,13,33.3,1.33,1.44,49.86,25.0,58.3,52.8
france_ligue_1_2026_2027,Benoit Tavenot,B. Tavenot,France,defensive,4-2-3-1,35,3,8,24,8.6,0.91,2.29,49.49,20.0,48.6,62.9
france_ligue_1_2026_2027,Bruno Genesio,B. Genesio,France,balanced,4-2-3-1,56,28,7,21,50.0,1.52,1.14,56.42,35.7,37.5,46.4
france_ligue_1_2026_2027,Carles Martínez,C. Martínez,Spain,attacking,4-2-3-1,10,8,0,2,80.0,3.2,0.8,57.3,50.0,50.0,100.0
france_ligue_1_2026_2027,Christophe Pélissier,C. Pélissier,France,balanced,4-3-3,35,8,10,17,22.9,1.0,1.31,43.8,25.7,42.9,45.7
france_ligue_1_2026_2027,Claude Puel,C. Puel,France,balanced,4-2-3-1,52,12,14,26,23.1,1.1,1.67,46.44,17.3,57.7,51.9
france_ligue_1_2026_2027,Davide Ancelotti,D. Ancelotti,Italy,attacking,4-2-3-1,9,5,3,1,55.6,2.11,1.11,48.0,44.4,55.6,55.6
france_ligue_1_2026_2027,Didier Digard,D. Digard,France,defensive,4-3-3,44,9,16,19,20.5,0.93,1.32,47.66,20.5,52.3,34.1
france_ligue_1_2026_2027,Didier Santini,D. Santini,France,balanced,5-3-2,62,25,23,14,40.3,1.61,1.35,41.41,16.1,74.2,54.8
france_ligue_1_2026_2027,Dino Toppmoller,D. Toppmoller,Germany,attacking,3-4-2-1,6,3,1,2,50.0,2.5,1.33,54.6,16.7,66.7,83.3
france_ligue_1_2026_2027,Eric Roy,E. Roy,France,balanced,4-2-3-1,35,10,10,15,28.6,1.26,1.6,43.63,25.7,48.6,48.6
france_ligue_1_2026_2027,Filipe Luís,Filipe Luís,Brazil,attacking,4-2-3-1,11,8,1,2,72.7,2.09,1.27,49.27,27.3,54.5,54.5
france_ligue_1_2026_2027,Franck Haise,F. Haise,France,attacking,4-1-4-1,46,23,10,13,50.0,1.83,1.57,53.49,23.9,65.2,78.3
france_ligue_1_2026_2027,Gary O'Neil,G. O'Neil,England,attacking,4-2-3-1,49,25,8,16,51.0,1.82,1.39,52.65,24.5,63.3,67.3
france_ligue_1_2026_2027,Gregory Poirier,G. Poirier,France,attacking,4-2-3-1,8,3,2,3,37.5,2.12,1.25,54.83,25.0,50.0,50.0
france_ligue_1_2026_2027,Habib Beye,H. Beye,Senegal,attacking,4-2-3-1,46,24,6,16,52.2,2.04,1.33,57.33,28.3,47.8,69.6
france_ligue_1_2026_2027,Hugo Oliveira,H. Oliveira,Portugal,defensive,4-2-3-1,5,0,1,4,0.0,0.6,3.4,49.5,0.0,40.0,40.0
france_ligue_1_2026_2027,Hugo Oliveira,H. F. C. Oliveira,Portugal,balanced,4-2-3-1,51,25,14,12,49.0,1.39,0.96,52.81,39.2,43.1,45.1
france_ligue_1_2026_2027,Jens Askou,J. Askou,Denmark,balanced,4-2-3-1,84,32,25,27,38.1,1.43,1.21,50.46,34.5,50.0,47.6
france_ligue_1_2026_2027,Julien Lachuer,J. Lachuer,France,balanced,4-2-3-1,9,2,5,2,22.2,1.67,1.89,49.38,0.0,77.8,77.8
france_ligue_1_2026_2027,Liam Rosenior,L. Rosenior,England,attacking,4-2-3-1,23,14,5,4,60.9,1.74,1.17,53.33,39.1,47.8,56.5
france_ligue_1_2026_2027,Luis Enrique,L. Enrique,Spain,attacking,4-3-3,59,36,12,11,61.0,2.22,1.08,67.05,40.7,52.5,64.4
france_ligue_1_2026_2027,Olivier Pantaloni,O. Pantaloni,France,balanced,3-4-2-1,44,14,17,13,31.8,1.32,1.3,46.6,31.8,43.2,40.9
france_ligue_1_2026_2027,Patrick Videira,P. Videira,France,balanced,3-1-4-2,49,20,21,8,40.8,1.43,1.06,50.52,36.7,55.1,40.8
france_ligue_1_2026_2027,Paulo Fonseca,P. Fonseca,Portugal,attacking,4-2-3-1,61,35,10,16,57.4,1.77,1.15,55.23,41.0,49.2,54.1
france_ligue_1_2026_2027,Philippe Montanier,P. Montanier,France,defensive,4-3-3,4,0,2,2,0.0,0.5,1.5,55.0,50.0,50.0,50.0
france_ligue_1_2026_2027,Pierre Sage,P. Sage,France,attacking,3-4-2-1,67,41,10,16,61.2,1.88,1.1,51.66,32.8,52.2,67.2
france_ligue_1_2026_2027,Sébastien Pocognoli,S. Pocognoli,Belgium,balanced,3-4-2-1,47,20,11,16,42.6,1.66,1.66,50.98,23.4,66.0,66.0
france_ligue_1_2026_2027,Stephane Dumont,S. Dumont,France,attacking,4-1-4-1,62,36,12,14,58.1,1.73,0.98,51.03,40.3,48.4,51.6
france_ligue_1_2026_2027,Stephane Gilli,S. Gilli,France,attacking,4-2-3-1,8,5,0,3,62.5,2.0,1.62,48.67,0.0,87.5,87.5
france_ligue_1_2026_2027,Vahid Halilhodžić,V. Halilhodžić,Bosnia & Herzegovina,balanced,4-1-4-1,35,6,9,20,17.1,1.0,1.6,42.71,20.0,48.6,45.7
france_ligue_1_2026_2027,Will Still,W. Still,Belgium,balanced,4-2-3-1,8,2,2,4,25.0,1.62,2.12,52.0,12.5,87.5,62.5
