league,name,short_name,country,tactical_profile,preferred_formation,matches_total,wins,draws,losses,win_pct,avg_goals_scored,avg_goals_conceded,avg_possession,clean_sheet_pct,btts_pct,over_25_pct
grecia_stoiximan_super_league_2026_2027,Alessio Lisci,A. Lisci,Italy,balanced,4-2-3-1,53,19,11,23,35.8,1.51,1.4,46.85,18.9,60.4,58.5
grecia_stoiximan_super_league_2026_2027,Christos Kontis,C. Kontis,Greece,balanced,3-4-3,40,16,3,21,40.0,1.4,1.65,46.54,30.0,45.0,67.5
grecia_stoiximan_super_league_2026_2027,Dušan Kerkez,D. Kerkez,Bosnia & Herzegovina,balanced,4-2-3-1,42,13,11,18,31.0,1.26,1.17,52.29,31.0,47.6,50.0
grecia_stoiximan_super_league_2026_2027,Elias Charalambous,E. Charalambous,Cyprus,defensive,4-2-3-1,7,3,0,4,42.9,0.57,1.57,51.2,42.9,14.3,28.6
grecia_stoiximan_super_league_2026_2027,Georgios Antonopoulos,G. Antonopoulos,Greece,balanced,3-4-3,43,10,14,19,23.3,1.02,1.33,45.41,25.6,51.2,46.5
grecia_stoiximan_super_league_2026_2027,Gerard Zaragoza Mulet,G. Z. Mulet,Spain,defensive,5-3-2,36,7,8,21,19.4,0.69,2.03,37.31,13.9,41.7,55.6
grecia_stoiximan_super_league_2026_2027,Gianluca Festa,G. Festa,Italy,defensive,4-2-3-1,36,5,15,16,13.9,0.94,1.56,45.86,16.7,61.1,38.9
grecia_stoiximan_super_league_2026_2027,Giannis Anastasiou,G. Anastasiou,Greece,balanced,4-2-3-1,42,12,10,20,28.6,1.05,1.33,45.44,21.4,47.6,42.9
grecia_stoiximan_super_league_2026_2027,Jacob Neestrup,J. Neestrup,Denmark,attacking,4-2-3-1,12,8,3,1,66.7,2.25,1.17,54.67,25.0,75.0,83.3
grecia_stoiximan_super_league_2026_2027,Jose Luis Mendilibar,J. L. Mendilibar,Spain,balanced,4-2-3-1,53,26,15,12,49.1,1.38,0.87,52.61,49.1,39.6,35.8
grecia_stoiximan_super_league_2026_2027,Konstantinos Bratsos,K. Bratsos,Greece,balanced,4-2-3-1,38,10,8,20,26.3,1.03,1.66,45.95,13.2,57.9,50.0
grecia_stoiximan_super_league_2026_2027,Marko Nikolić,M. Nikolić,Serbia,attacking,4-4-2,56,36,14,6,64.3,1.96,0.73,53.48,51.8,41.1,51.8
grecia_stoiximan_super_league_2026_2027,Michalis Grigoriou,M. Grigoriou,Greece,balanced,4-2-3-1,37,14,13,10,37.8,1.19,1.27,50.73,29.7,54.1,43.2
grecia_stoiximan_super_league_2026_2027,Nikolaos Papadopoulos,N. Papadopoulos,Greece,attacking,4-2-3-1,34,15,8,11,44.1,1.94,1.5,56.03,23.5,58.8,67.6
grecia_stoiximan_super_league_2026_2027,Panagiotis Christofileas,P. Christofileas,Greece,balanced,4-4-2,5,2,1,2,40.0,1.4,1.4,45.0,20.0,60.0,40.0
grecia_stoiximan_super_league_2026_2027,Rafael Benítez,R. Benítez,Spain,balanced,4-2-3-1,50,19,19,12,38.0,1.3,1.06,50.98,34.0,52.0,46.0
grecia_stoiximan_super_league_2026_2027,Razvan Lucescu,R. Lucescu,Romania,attacking,4-2-3-1,50,25,15,10,50.0,1.76,0.92,56.33,48.0,44.0,52.0
grecia_stoiximan_super_league_2026_2027,Sebastián Leto,S. Leto,Argentina,balanced,4-4-2,43,9,18,16,20.9,1.09,1.51,47.59,20.9,60.5,51.2
grecia_stoiximan_super_league_2026_2027,Walter Mazzarri,W. Mazzarri,Italy,defensive,3-5-1-1,6,0,3,3,0.0,0.5,1.83,48.4,0.0,50.0,16.7
