league,name,short_name,country,tactical_profile,preferred_formation,matches_total,wins,draws,losses,win_pct,avg_goals_scored,avg_goals_conceded,avg_possession,clean_sheet_pct,btts_pct,over_25_pct
inglaterra_premier_league_2026_2027,Álvaro Arbeloa,Á. Arbeloa,Spain,attacking,4-2-3-1,69,42,9,18,60.9,1.96,1.16,58.55,30.4,59.4,60.9
inglaterra_premier_league_2026_2027,Andoni Iraola,A. Iraola,Spain,balanced,4-2-3-1,55,22,23,10,40.0,1.64,1.36,51.56,32.7,61.8,56.4
inglaterra_premier_league_2026_2027,Arne Slot,A. Slot,Netherlands,attacking,4-2-3-1,54,26,9,19,48.1,1.72,1.39,57.93,27.8,57.4,61.1
inglaterra_premier_league_2026_2027,Calum McFarlane,C. McFarlane,England,attacking,4-2-3-1,57,25,11,21,43.9,1.82,1.42,58.05,24.6,61.4,70.2
inglaterra_premier_league_2026_2027,Daniel Farke,D. Farke,Germany,balanced,3-5-2,57,20,21,16,35.1,1.49,1.35,47.23,26.3,57.9,50.9
inglaterra_premier_league_2026_2027,David Moyes,D. Moyes,Scotland,balanced,4-2-3-1,55,21,16,18,38.2,1.31,1.15,45.75,34.5,47.3,41.8
inglaterra_premier_league_2026_2027,Eddie Howe,E. Howe,England,balanced,4-3-3,56,23,11,22,41.1,1.68,1.48,52.04,23.2,66.1,66.1
inglaterra_premier_league_2026_2027,Enzo Maresca,E. Maresca,Italy,attacking,4-2-3-1,13,12,1,0,92.3,3.23,0.77,65.0,38.5,61.5,61.5
inglaterra_premier_league_2026_2027,Fabian Hurzeler,F. Hurzeler,Germany,attacking,4-2-3-1,53,24,13,16,45.3,1.75,1.11,55.81,35.8,47.2,56.6
inglaterra_premier_league_2026_2027,Frank Lampard,F. Lampard,England,attacking,4-2-3-1,59,33,12,14,55.9,1.86,1.08,53.68,35.6,52.5,59.3
inglaterra_premier_league_2026_2027,Gary O'Neil,G. O'Neil,England,attacking,4-2-3-1,52,26,8,18,50.0,1.81,1.44,52.33,23.1,63.5,67.3
inglaterra_premier_league_2026_2027,Keith Andrews,K. Andrews,Ireland,attacking,4-2-3-1,54,24,16,14,44.4,1.8,1.2,48.89,31.5,51.9,53.7
inglaterra_premier_league_2026_2027,Marco Rose,M. Rose,Germany,attacking,4-2-3-1,12,5,4,3,41.7,2.83,1.42,50.7,8.3,83.3,83.3
inglaterra_premier_league_2026_2027,Marco Silva,M. Silva,Portugal,attacking,4-2-3-1,60,30,10,20,50.0,1.77,1.18,54.77,28.3,56.7,58.3
inglaterra_premier_league_2026_2027,Matthias Jaissle,M. Jaissle,Germany,attacking,4-2-3-1,50,32,10,8,64.0,1.96,1.04,51.2,40.0,58.0,60.0
inglaterra_premier_league_2026_2027,Michael Carrick,M. Carrick,England,attacking,4-2-3-1,53,24,16,13,45.3,1.83,1.38,52.85,18.9,69.8,62.3
inglaterra_premier_league_2026_2027,Michael Jackson,M. Jackson,England,balanced,4-2-3-1,41,6,10,25,14.6,1.12,1.93,43.32,9.8,61.0,53.7
inglaterra_premier_league_2026_2027,Mikel Arteta,M. Arteta,Spain,attacking,4-2-3-1,73,51,13,9,69.9,1.92,0.74,55.71,49.3,46.6,50.7
inglaterra_premier_league_2026_2027,Nuno Espírito Santo,N. E. Santo,Portugal,balanced,4-4-2,58,19,17,22,32.8,1.6,1.57,46.28,20.7,60.3,65.5
inglaterra_premier_league_2026_2027,Oliver Glasner,O. Glasner,Austria,balanced,3-4-2-1,57,18,17,22,31.6,1.12,1.25,46.71,29.8,50.9,50.9
inglaterra_premier_league_2026_2027,Pep Guardiola,P. Guardiola,Spain,attacking,4-1-4-1,57,37,10,10,64.9,2.0,0.91,60.61,43.9,47.4,59.6
inglaterra_premier_league_2026_2027,Pierre Sage,P. Sage,France,attacking,3-4-2-1,71,43,11,17,60.6,1.9,1.08,51.45,35.2,50.7,67.6
inglaterra_premier_league_2026_2027,Régis Le Bris,R. L. Bris,France,balanced,4-2-3-1,54,21,15,18,38.9,1.17,1.26,46.72,29.6,48.1,40.7
inglaterra_premier_league_2026_2027,Rob Edwards,R. Edwards,Wales,defensive,3-4-2-1,42,6,11,25,14.3,0.98,1.79,43.76,11.9,47.6,47.6
inglaterra_premier_league_2026_2027,Roberto De Zerbi,R. D. Zerbi,Italy,balanced,4-2-3-1,65,22,18,25,33.8,1.45,1.42,52.69,32.3,53.8,60.0
inglaterra_premier_league_2026_2027,Sergej Jakirović,S. Jakirović,Croatia,balanced,4-2-3-1,64,27,18,19,42.2,1.39,1.3,43.6,31.2,56.2,56.2
inglaterra_premier_league_2026_2027,Unai Emery,U. Emery,Spain,balanced,4-2-3-1,72,39,10,23,54.2,1.65,1.25,52.49,27.8,58.3,61.1
inglaterra_premier_league_2026_2027,Vitor Pereira,V. Pereira,Portugal,balanced,4-2-3-1,56,19,15,22,33.9,1.38,1.3,48.91,28.6,46.4,55.4
inglaterra_premier_league_2026_2027,Xabi Alonso,X. Alonso,Spain,attacking,3-4-2-1,15,9,2,4,60.0,2.6,1.87,53.92,20.0,66.7,80.0
