league,name,short_name,country,tactical_profile,preferred_formation,matches_total,wins,draws,losses,win_pct,avg_goals_scored,avg_goals_conceded,avg_possession,clean_sheet_pct,btts_pct,over_25_pct
italia_serie_a_2026_2027,Alberto Aquilani,A. Aquilani,Italy,attacking,4-3-3,15,6,4,5,40.0,2.87,1.4,48.5,26.7,66.7,66.7
italia_serie_a_2026_2027,Antonio Conte,A. Conte,Italy,balanced,3-4-2-1,48,25,11,12,52.1,1.44,1.1,57.5,35.4,50.0,47.9
italia_serie_a_2026_2027,Carlos Cuesta,C. Cuesta,Spain,defensive,3-5-2,52,14,17,21,26.9,0.79,1.21,44.2,30.8,42.3,28.8
italia_serie_a_2026_2027,Cesc Fàbregas,C. Fàbregas,Spain,attacking,4-2-3-1,55,28,17,10,50.9,1.75,0.87,60.58,40.0,50.9,49.1
italia_serie_a_2026_2027,Cristian Chivu,C. Chivu,Romania,attacking,3-5-2,64,43,10,11,67.2,2.2,1.02,58.64,40.6,54.7,59.4
italia_serie_a_2026_2027,Daniele De Rossi,D. De Rossi,Italy,balanced,3-4-2-1,53,16,13,24,30.2,1.15,1.53,48.9,22.6,52.8,54.7
italia_serie_a_2026_2027,Domenico Tedesco,D. Tedesco,Italy,defensive,4-2-3-1,4,0,1,3,0.0,0.5,1.25,55.25,0.0,25.0,25.0
italia_serie_a_2026_2027,Eusebio Di Francesco,E. D. Francesco,Italy,defensive,4-2-3-1,52,16,10,26,30.8,0.85,1.35,41.58,28.8,32.7,38.5
italia_serie_a_2026_2027,Fabio Grosso,F. Grosso,Italy,balanced,4-3-3,57,23,8,26,40.4,1.3,1.42,46.89,21.1,50.9,64.9
italia_serie_a_2026_2027,Fabio Pisacane,F. Pisacane,Italy,balanced,3-5-2,52,18,15,19,34.6,1.08,1.19,45.81,28.8,48.1,44.2
italia_serie_a_2026_2027,Gennaro Gattuso,G. Gattuso,Italy,attacking,4-3-3,12,10,1,1,83.3,2.58,0.92,52.9,41.7,50.0,66.7
italia_serie_a_2026_2027,Gian Piero Gasperini,G. P. Gasperini,Italy,attacking,3-4-2-1,60,33,10,17,55.0,1.72,1.03,55.68,40.0,45.0,48.3
italia_serie_a_2026_2027,Giovanni Stroppa,G. Stroppa,Italy,attacking,3-5-2,15,5,2,8,33.3,2.2,2.0,57.36,26.7,53.3,73.3
italia_serie_a_2026_2027,Ignazio Abate,I. Abate,Italy,attacking,3-4-2-1,15,7,2,6,46.7,1.73,0.93,56.0,33.3,40.0,33.3
italia_serie_a_2026_2027,Ivan Jurić,I. Jurić,Croatia,attacking,3-4-2-1,12,5,2,5,41.7,1.83,1.83,48.82,25.0,66.7,66.7
italia_serie_a_2026_2027,Kosta Runjaic,K. Runjaic,Germany,balanced,3-4-2-1,54,21,10,23,38.9,1.22,1.31,45.77,27.8,46.3,44.4
italia_serie_a_2026_2027,Luciano Spalletti,L. Spalletti,Italy,balanced,3-4-2-1,63,33,18,12,52.4,1.65,0.95,55.24,47.6,41.3,38.1
italia_serie_a_2026_2027,Marco Giampaolo,M. Giampaolo,Italy,defensive,4-4-2,40,9,11,20,22.5,0.85,1.43,46.67,32.5,40.0,42.5
italia_serie_a_2026_2027,Massimiliano Allegri,M. Allegri,Italy,balanced,4-3-3,51,26,12,13,51.0,1.47,0.98,52.18,37.3,49.0,45.1
italia_serie_a_2026_2027,Massimiliano Alvini,M. Alvini,Italy,balanced,4-2-3-1,14,7,4,3,50.0,1.57,1.07,43.58,35.7,57.1,42.9
italia_serie_a_2026_2027,Maurizio Sarri,M. Sarri,Italy,balanced,4-3-3,55,22,16,17,40.0,1.13,1.05,49.57,38.2,36.4,36.4
italia_serie_a_2026_2027,Oscar Hiljemark,O. Hiljemark,Sweden,defensive,3-5-2,39,2,12,25,5.1,0.67,1.85,40.41,12.8,41.0,51.3
italia_serie_a_2026_2027,Paolo Sammarco,P. Sammarco,Italy,defensive,3-5-2,40,3,14,23,7.5,0.62,1.52,40.1,20.0,45.0,47.5
italia_serie_a_2026_2027,Paolo Vanoli,P. Vanoli,Italy,balanced,4-3-3,48,15,17,16,31.2,1.4,1.29,50.28,27.1,60.4,52.1
italia_serie_a_2026_2027,Raffaele Palladino,R. Palladino,Italy,balanced,4-3-3,61,24,19,18,39.3,1.39,1.21,53.05,31.1,52.5,45.9
italia_serie_a_2026_2027,Roberto D'Aversa,R. D'Aversa,Italy,balanced,3-5-2,41,14,9,18,34.1,1.2,1.63,44.05,31.7,51.2,63.4
italia_serie_a_2026_2027,Rúben Amorim,R. Amorim,Portugal,attacking,3-4-2-1,11,5,4,2,45.5,1.73,1.27,58.09,27.3,54.5,54.5
italia_serie_a_2026_2027,Vincenzo Italiano,V. Italiano,Italy,balanced,4-1-4-1,76,37,16,23,48.7,1.43,1.12,56.3,32.9,47.4,46.1
