league,name,short_name,country,tactical_profile,preferred_formation,matches_total,wins,draws,losses,win_pct,avg_goals_scored,avg_goals_conceded,avg_possession,clean_sheet_pct,btts_pct,over_25_pct
japao_j1_league_2026_2027,Arthur Papas,A. Papas,Australia,balanced,4-2-3-1,71,28,20,23,39.4,1.63,1.39,52.74,22.5,66.2,60.6
japao_j1_league_2026_2027,Bartosch Gaul,B. Gaul,Germany,balanced,3-4-2-1,75,41,14,20,54.7,1.69,0.99,54.84,33.3,53.3,54.7
japao_j1_league_2026_2027,Daisuke Kimori,D. Kimori,Japan,balanced,4-4-2,29,4,11,14,13.8,1.03,1.69,48.48,6.9,62.1,41.4
japao_j1_league_2026_2027,Daisuke Sudo,D. Sudo,Japan,defensive,3-4-2-1,43,12,9,22,27.9,0.88,1.23,43.0,27.9,39.5,37.2
japao_j1_league_2026_2027,Go Kuroda,G. Kuroda,Japan,balanced,3-4-2-1,74,39,20,15,52.7,1.59,0.99,46.83,35.1,51.4,55.4
japao_j1_league_2026_2027,Gwi-jae Jo,G. Jo,South Korea,balanced,4-3-3,32,12,6,14,37.5,1.5,1.78,53.5,18.8,62.5,59.4
japao_j1_league_2026_2027,Hideo Oshima,H. Oshima,Japan,balanced,4-2-3-1,51,17,8,26,33.3,1.29,1.27,45.12,25.5,37.3,49.0
japao_j1_league_2026_2027,Hiroshi Jofuku,H. Jofuku,Japan,defensive,3-4-2-1,70,21,19,30,30.0,0.81,1.23,44.36,37.1,32.9,34.3
japao_j1_league_2026_2027,Jens Wissing,J. Wissing,Germany,balanced,4-2-3-1,71,31,19,21,43.7,1.56,1.41,54.78,23.9,56.3,54.9
japao_j1_league_2026_2027,Michael Skibbe,M. Skibbe,Germany,balanced,4-3-3,74,39,19,16,52.7,1.49,0.96,54.03,33.8,48.6,45.9
japao_j1_league_2026_2027,Mihailo Petrovic,M. Petrovic,Austria,balanced,3-4-2-1,72,24,16,32,33.3,1.33,1.57,53.75,19.4,63.9,66.7
japao_j1_league_2026_2027,Pablo Machin,P. Machin,Spain,balanced,3-4-2-1,11,6,2,3,54.5,1.0,1.09,55.22,54.5,27.3,36.4
japao_j1_league_2026_2027,Ranko Popović,R. Popović,Serbia,balanced,4-2-3-1,51,22,14,15,43.1,1.53,1.25,47.56,23.5,62.7,52.9
japao_j1_league_2026_2027,Ricardo Rodriguez,R. Rodriguez,Spain,balanced,3-4-2-1,69,35,14,20,50.7,1.51,1.09,56.66,37.7,44.9,40.6
japao_j1_league_2026_2027,Rikizo Matsuhashi,R. Matsuhashi,Japan,balanced,4-4-2,74,33,20,21,44.6,1.43,1.18,51.34,31.1,45.9,48.6
japao_j1_league_2026_2027,Shigetoshi Hasebe,S. Hasebe,Japan,balanced,4-2-3-1,69,27,21,21,39.1,1.61,1.45,52.8,20.3,62.3,56.5
japao_j1_league_2026_2027,Shinya Tsukahara,S. Tsukahara,Japan,balanced,3-4-2-1,73,19,26,28,26.0,1.04,1.25,44.03,30.1,50.7,38.4
japao_j1_league_2026_2027,Steve Corica,S. Corica,Australia,balanced,4-2-3-1,10,5,3,2,50.0,1.6,1.1,48.62,40.0,60.0,30.0
japao_j1_league_2026_2027,Takashi Kiyama,T. Kiyama,Japan,balanced,3-4-2-1,72,25,17,30,34.7,1.08,1.25,41.89,27.8,51.4,41.7
japao_j1_league_2026_2027,Takayuki Yoshida,T. Yoshida,Japan,balanced,4-3-3,73,24,21,28,32.9,1.11,1.25,49.0,27.4,49.3,38.4
japao_j1_league_2026_2027,Takuya Takagi,T. Takagi,Japan,balanced,3-4-2-1,31,12,3,16,38.7,1.23,1.61,45.69,19.4,58.1,61.3
japao_j1_league_2026_2027,Tatsuya Tanaka,T. Tanaka,Japan,balanced,4-2-3-1,60,24,16,20,40.0,1.23,1.05,55.44,35.0,46.7,38.3
japao_j1_league_2026_2027,Tetsu Nagasawa,T. Nagasawa,Japan,balanced,3-1-4-2,43,11,8,24,25.6,1.0,1.53,46.0,18.6,44.2,44.2
japao_j1_league_2026_2027,Tomokazu Myojin,T. Myojin,Japan,attacking,4-2-3-1,13,6,3,4,46.2,2.08,1.46,56.62,30.8,46.2,61.5
japao_j1_league_2026_2027,Toru Oniki,T. Oniki,Japan,attacking,4-4-2,72,46,12,14,63.9,1.71,0.93,58.22,44.4,47.2,50.0
japao_j1_league_2026_2027,Yoshiyuki Kobayashi,Y. Kobayashi,Japan,defensive,4-4-2,31,4,8,19,12.9,0.97,1.77,46.59,12.9,58.1,51.6
japao_j1_league_2026_2027,Yuzo Funakoshi,Y. Funakoshi,Japan,defensive,4-4-2,42,5,12,25,11.9,0.98,1.83,54.43,14.3,59.5,52.4
