league,name,short_name,country,tactical_profile,preferred_formation,matches_total,wins,draws,losses,win_pct,avg_goals_scored,avg_goals_conceded,avg_possession,clean_sheet_pct,btts_pct,over_25_pct
liga_mx_apertura_2026,Alberto Manuel Espigares Lopez,A. M. E. Lopez,Spain,balanced,4-1-4-1,35,7,7,21,20.0,1.0,1.94,47.69,20.0,51.4,60.0
liga_mx_apertura_2026,André Jardine,A. Jardine,Brazil,balanced,4-2-3-1,41,19,10,12,46.3,1.54,1.17,56.48,26.8,53.7,48.8
liga_mx_apertura_2026,Antonio Mohamed,A. Mohamed,Argentina,attacking,4-2-3-1,53,28,13,12,52.8,1.91,1.06,57.24,32.1,54.7,52.8
liga_mx_apertura_2026,Benjamin Mora,B. Mora,Mexico,attacking,4-2-3-1,12,6,3,3,50.0,2.08,1.0,46.2,33.3,58.3,66.7
liga_mx_apertura_2026,Diego Martin Cocca,D. M. Cocca,Argentina,balanced,5-4-1,37,12,10,15,32.4,1.22,1.59,45.27,27.0,51.4,48.6
liga_mx_apertura_2026,Diego Mejia,D. Mejia,Mexico,attacking,3-4-2-1,14,6,4,4,42.9,1.86,1.29,53.56,35.7,42.9,71.4
liga_mx_apertura_2026,Efraín Juárez,E. Juárez,Mexico,balanced,4-2-3-1,55,20,20,15,36.4,1.6,1.44,49.89,23.6,63.6,50.9
liga_mx_apertura_2026,Esteban Gonzalez,E. Gonzalez,Chile,balanced,4-2-3-1,45,16,13,16,35.6,1.16,1.33,36.93,26.7,51.1,48.9
liga_mx_apertura_2026,Esteban Solari,E. Solari,Argentina,balanced,4-2-3-1,50,22,11,17,44.0,1.32,1.16,48.69,22.0,50.0,48.0
liga_mx_apertura_2026,Gabriel Milito,G. Milito,Argentina,balanced,3-4-2-1,52,27,12,13,51.9,1.69,1.1,56.82,40.4,48.1,55.8
liga_mx_apertura_2026,Gerardo Espinoza,G. Espinoza,Mexico,balanced,4-2-3-1,11,5,2,4,45.5,1.64,1.64,42.12,9.1,72.7,54.5
liga_mx_apertura_2026,Guido Pizarro,G. Pizarro,Argentina,attacking,4-2-3-1,45,20,13,12,44.4,1.78,1.16,54.31,31.1,60.0,53.3
liga_mx_apertura_2026,Guillermo Almada,G. Almada,Uruguay,balanced,4-2-3-1,95,35,27,33,36.8,1.14,1.22,48.69,32.6,43.2,42.1
liga_mx_apertura_2026,Gustavo Lema,G. Lema,Argentina,balanced,3-4-1-2,15,6,4,5,40.0,1.53,1.33,52.4,20.0,66.7,46.7
liga_mx_apertura_2026,Hernan Crespo,H. Crespo,Argentina,balanced,3-4-2-1,15,4,4,7,26.7,1.27,1.4,50.62,33.3,46.7,40.0
liga_mx_apertura_2026,Hernán Elizondo,H. Elizondo,Mexico,,,0,0,0,0,,,,,,,
liga_mx_apertura_2026,Javier Gandolfi,J. Gandolfi,Argentina,balanced,4-1-4-1,45,16,7,22,35.6,1.24,1.69,51.74,20.0,55.6,53.3
liga_mx_apertura_2026,Joel Huiqui,J. Huiqui,Mexico,attacking,3-4-2-1,56,30,17,9,53.6,1.8,1.21,54.69,25.0,69.6,58.9
liga_mx_apertura_2026,Juan Maximo Reynoso,J. M. Reynoso,Peru,,,0,0,0,0,,,,,,,
liga_mx_apertura_2026,Martin Varini,M. Varini,Uruguay,balanced,3-4-2-1,45,13,11,21,28.9,1.31,1.62,49.86,13.3,64.4,55.6
liga_mx_apertura_2026,Matías Almeyda,M. Almeyda,Argentina,attacking,4-2-3-1,50,23,9,18,46.0,1.7,1.42,56.13,28.0,54.0,58.0
liga_mx_apertura_2026,Miguel Herrera,M.Herrera,Mexico,balanced,5-3-2,13,1,8,4,7.7,1.15,1.69,41.67,7.7,69.2,38.5
liga_mx_apertura_2026,Omar Tapia,O. Tapia,,balanced,4-3-1-2,34,9,5,20,26.5,1.24,1.94,44.74,17.6,58.8,70.6
liga_mx_apertura_2026,Pedro Caixinha,Pedro Caixinha,Portugal,balanced,4-2-3-1,41,12,10,19,29.3,1.41,1.78,48.0,7.3,78.0,65.9
liga_mx_apertura_2026,Raúl Chabrand,R. Chabrand,Mexico,balanced,4-2-3-1,34,10,4,20,29.4,1.44,1.65,47.12,20.6,64.7,58.8
liga_mx_apertura_2026,Renato Paiva,R. Paiva,Portugal,balanced,4-2-3-1,12,4,1,7,33.3,1.08,1.42,50.33,16.7,41.7,50.0
liga_mx_apertura_2026,Salvador Valero García,S. V. García,Spain,defensive,4-2-3-1,3,0,0,3,0.0,0.67,4.0,38.0,0.0,66.7,100.0
liga_mx_apertura_2026,Sebastian Abreu,S. Abreu,Uruguay,balanced,4-1-4-1,47,19,16,12,40.4,1.49,1.23,46.56,34.0,53.2,53.2
liga_mx_apertura_2026,Sergio Bueno,S. Bueno,Mexico,balanced,3-4-2-1,34,6,11,17,17.6,1.24,1.94,41.97,5.9,76.5,61.8
liga_mx_apertura_2026,Victor Vucetich,V. Vucetich,Mexico,defensive,4-2-3-1,6,1,4,1,16.7,0.67,0.67,52.0,50.0,33.3,0.0
