league,name,short_name,country,tactical_profile,preferred_formation,matches_total,wins,draws,losses,win_pct,avg_goals_scored,avg_goals_conceded,avg_possession,clean_sheet_pct,btts_pct,over_25_pct
mls_2026,Alastair Harris,A. Harris,,attacking,4-2-3-1,9,3,1,5,33.3,1.78,1.78,54.56,22.2,66.7,66.7
mls_2026,Ben Olsen,B. Olsen,USA,balanced,4-2-3-1,61,24,14,23,39.3,1.38,1.48,49.12,36.1,52.5,50.8
mls_2026,B.J. Callaghan,B.J. Callaghan,USA,attacking,4-2-3-1,60,33,11,16,55.0,1.8,1.17,51.8,33.3,55.0,63.3
mls_2026,Bradley Carnell,B. Carnell,South Africa,balanced,4-4-2,52,22,11,19,42.3,1.54,1.31,47.58,32.7,48.1,53.8
mls_2026,Brian Schmetzer,B. Schmetzer,USA,balanced,4-2-3-1,60,24,18,18,40.0,1.53,1.37,52.78,28.3,55.0,53.3
mls_2026,Bruce Arena,B. Arena,USA,attacking,4-2-3-1,58,21,13,24,36.2,1.74,1.71,50.02,19.0,74.1,67.2
mls_2026,Cameron Knowles,C. Knowles,New Zealand,balanced,5-3-2,61,23,20,18,37.7,1.56,1.38,41.67,26.2,60.7,57.4
mls_2026,Davy Arnaud,D. Arnaud,USA,balanced,3-4-3,23,7,6,10,30.4,1.3,1.61,48.57,21.7,60.9,65.2
mls_2026,Dean Smith,D. Smith,England,balanced,4-2-3-1,61,30,9,22,49.2,1.59,1.34,47.33,32.8,54.1,57.4
mls_2026,Eric Quill,E. Quill,USA,balanced,4-2-3-1,59,21,19,19,35.6,1.66,1.68,41.02,16.9,64.4,61.0
mls_2026,Gerardo Martino,G. Martino,Argentina,balanced,4-2-3-1,57,11,17,29,19.3,1.14,1.81,50.51,8.8,61.4,54.4
mls_2026,Gregg Berhalter,G. Berhalter,USA,attacking,4-3-3,60,28,14,18,46.7,1.95,1.63,50.32,21.7,71.7,76.7
mls_2026,Greg Vanney,G. Vanney,USA,balanced,4-2-3-1,61,17,17,27,27.9,1.36,1.69,52.05,14.8,67.2,63.9
mls_2026,Guillermo Angel Hoyos,G. A. Hoyos,Argentina,attacking,4-3-3,63,36,15,12,57.1,2.52,1.63,56.25,19.0,74.6,81.0
mls_2026,Henrik Rydstrom,H. Rydstrom,Sweden,attacking,4-2-3-1,38,18,13,7,47.4,1.76,1.18,58.39,28.9,63.2,52.6
mls_2026,Jack Cassidy,J. Cassidy,England,attacking,4-1-4-1,3,2,1,0,66.7,3.0,1.33,58.67,0.0,100.0,100.0
mls_2026,Jesper Sorensen,J. Sorensen,Denmark,attacking,4-2-3-1,62,33,15,14,53.2,2.02,1.1,54.77,37.1,53.2,61.3
mls_2026,Laurent Courtois,L. Courtois,France,balanced,4-4-2,42,12,12,18,28.6,1.55,1.64,57.37,14.3,76.2,69.0
mls_2026,Marc Dos Santos,M. D. Santos,Canada,attacking,4-3-3,62,30,17,15,48.4,1.81,1.1,50.0,40.3,48.4,54.8
mls_2026,Marko Mitrovic,M. Mitrovic,Serbia,balanced,4-2-3-1,57,20,13,24,35.1,1.42,1.4,50.28,26.3,56.1,56.1
mls_2026,Marti Cifuentes,M. Cifuentes,Spain,attacking,4-2-3-1,6,3,1,2,50.0,2.17,1.83,47.33,0.0,100.0,83.3
mls_2026,Martin Manuel Perelman,M. M. Perelman,Argentina,,,0,0,0,0,,,,,,,
mls_2026,Martín Perelman,M. Perelman,Argentina,attacking,4-4-2,57,21,15,21,36.8,1.72,1.89,47.81,17.5,73.7,70.2
mls_2026,Matt Wells,M. Wells,England,balanced,4-2-3-1,49,18,9,22,36.7,1.22,1.47,48.58,26.5,44.9,51.0
mls_2026,Michael Bradley,M. Bradley,USA,balanced,4-3-3,57,19,13,25,33.3,1.4,1.63,52.0,21.1,59.6,54.4
mls_2026,Michael Bradley,M. Bradley,USA,,,0,0,0,0,,,,,,,
mls_2026,Mikey Varas,M. Varas,USA,attacking,4-3-3,62,30,13,19,48.4,1.84,1.31,61.11,32.3,54.8,61.3
mls_2026,Nico Estévez,N. Estévez,Spain,balanced,4-4-2,38,13,9,16,34.2,1.11,1.5,47.84,23.7,55.3,50.0
mls_2026,Pablo Mastroeni,P. Mastroeni,USA,balanced,4-2-3-1,58,21,10,27,36.2,1.36,1.52,51.09,15.5,63.8,56.9
mls_2026,Pascal Jansen,P. Jansen,Netherlands,balanced,4-2-3-1,62,27,14,21,43.5,1.48,1.31,53.82,25.8,56.5,53.2
mls_2026,Pat Noonan,P. Noonan,USA,attacking,3-4-1-2,62,31,12,19,50.0,1.73,1.69,49.05,22.6,59.7,61.3
mls_2026,Philippe Eullaffroy,P. Eullaffroy,France,balanced,4-3-3,57,11,16,30,19.3,1.12,1.89,48.49,14.0,56.1,54.4
mls_2026,Phil Neville,P. Neville,England,balanced,4-2-3-1,52,16,14,22,30.8,1.33,1.63,49.06,15.4,59.6,55.8
mls_2026,Raphael Wicky,R. Wicky,Switzerland,balanced,4-4-2,59,11,10,38,18.6,1.17,2.2,46.51,6.8,62.7,69.5
mls_2026,Rene Weiler,R. Weiler,Switzerland,balanced,4-4-2,57,10,21,26,17.5,1.04,1.86,42.89,15.8,61.4,54.4
mls_2026,Robin Fraser,R. Fraser,USA,balanced,4-2-3-1,61,14,26,21,23.0,1.36,1.48,45.95,18.0,67.2,47.5
mls_2026,Ryan Richter,R. Richter,USA,,,0,0,0,0,,,,,,,
mls_2026,Ryan Richter,R. Richter,USA,attacking,4-4-2,7,5,2,0,71.4,2.14,1.14,48.86,28.6,71.4,57.1
mls_2026,Yoann Damet,Y. Damet,France,balanced,3-4-3,57,18,15,24,31.6,1.4,1.56,48.88,15.8,63.2,59.6
