league,name,short_name,country,tactical_profile,preferred_formation,matches_total,wins,draws,losses,win_pct,avg_goals_scored,avg_goals_conceded,avg_possession,clean_sheet_pct,btts_pct,over_25_pct
polonia_ekstraklasa_2026_2027,Adam Majewski,A. Majewski,Poland,balanced,3-5-2,18,10,4,4,55.6,1.67,1.22,51.0,27.8,55.6,61.1
polonia_ekstraklasa_2026_2027,Adrian Siemieniec,A. Siemieniec,Poland,balanced,4-2-3-1,65,32,18,15,49.2,1.6,1.17,53.57,30.8,61.5,58.5
polonia_ekstraklasa_2026_2027,Aleksandar Vuković,A. Vuković,Serbia,balanced,4-1-4-1,45,15,12,18,33.3,1.24,1.2,45.36,33.3,51.1,46.7
polonia_ekstraklasa_2026_2027,Ante Šimundža,A. Šimundža,Slovenia,attacking,5-3-2,22,10,6,6,45.5,2.41,1.27,41.46,27.3,72.7,81.8
polonia_ekstraklasa_2026_2027,Bartosz Grzelak,B. Grzelak,Sweden,balanced,3-4-3,52,15,21,16,28.8,1.21,1.25,48.89,34.6,53.8,48.1
polonia_ekstraklasa_2026_2027,Bruno Baltazar,B. Baltazar,Portugal,balanced,4-1-4-1,35,11,11,13,31.4,1.49,1.57,49.49,17.1,68.6,57.1
polonia_ekstraklasa_2026_2027,Daniel Myśliwiec,Daniel Myśliwiec,Poland,balanced,4-4-2,55,21,11,23,38.2,1.25,1.33,53.16,30.9,45.5,45.5
polonia_ekstraklasa_2026_2027,Dariusz Banasik,D. Banasik,Poland,balanced,3-4-3,36,10,9,17,27.8,1.0,1.75,43.57,22.2,50.0,61.1
polonia_ekstraklasa_2026_2027,Dawid Kroczek,D. Kroczek,Poland,balanced,3-4-3,59,28,12,19,47.5,1.58,1.22,46.87,32.2,57.6,54.2
polonia_ekstraklasa_2026_2027,Dawid Szulczek,D. Szulczek,Poland,attacking,3-4-3,14,5,5,4,35.7,1.86,1.36,49.5,14.3,78.6,57.1
polonia_ekstraklasa_2026_2027,Jacek Zielinski,J. Zielinski,Poland,balanced,3-4-3,53,21,17,15,39.6,1.23,0.94,44.72,35.8,47.2,34.0
polonia_ekstraklasa_2026_2027,John Carver,J. Carver,England,attacking,4-2-3-1,37,14,7,16,37.8,1.81,1.86,49.65,10.8,75.7,73.0
polonia_ekstraklasa_2026_2027,Kazimierz Moskal,K. Moskal,Poland,balanced,4-3-3,5,1,1,3,20.0,1.6,2.0,53.4,20.0,80.0,80.0
polonia_ekstraklasa_2026_2027,Leszek Ojrzynski,L. Ojrzynski,Poland,balanced,4-2-3-1,55,21,15,19,38.2,1.36,1.16,39.63,34.5,47.3,47.3
polonia_ekstraklasa_2026_2027,Luka Elsner,L. Elsner,Slovenia,balanced,4-3-1-2,27,11,7,9,40.7,1.48,1.07,51.31,40.7,40.7,44.4
polonia_ekstraklasa_2026_2027,Marcin Brosz,M. Brosz,Poland,attacking,3-4-3,48,21,9,18,43.8,1.88,1.58,46.24,18.8,66.7,62.5
polonia_ekstraklasa_2026_2027,Marek Papszun,M. Papszun,Poland,balanced,4-3-3,71,30,23,18,42.3,1.44,1.17,50.4,26.8,60.6,49.3
polonia_ekstraklasa_2026_2027,Mariusz Jop,M. Jop,Poland,balanced,4-2-3-1,26,10,7,9,38.5,1.54,1.31,38.25,38.5,53.8,50.0
polonia_ekstraklasa_2026_2027,Mariusz Misiura,M. Misiura,Poland,balanced,4-1-4-1,50,20,12,18,40.0,1.38,1.24,43.59,20.0,56.0,48.0
polonia_ekstraklasa_2026_2027,Mateusz Stolarski,M. Stolarski,Poland,balanced,4-1-4-1,45,16,16,13,35.6,1.44,1.4,49.92,26.7,55.6,46.7
polonia_ekstraklasa_2026_2027,Michal Gasparik,M. Gasparik,Slovakia,balanced,4-3-3,61,34,11,16,55.7,1.54,1.05,46.25,31.1,54.1,52.5
polonia_ekstraklasa_2026_2027,Niels Frederiksen,N. Frederiksen,Denmark,attacking,4-2-3-1,71,40,16,15,56.3,1.97,1.23,51.9,31.0,64.8,67.6
polonia_ekstraklasa_2026_2027,Oscar Garcia,O. Garcia,Spain,balanced,4-3-3,60,24,19,17,40.0,1.58,1.35,52.7,26.7,58.3,56.7
polonia_ekstraklasa_2026_2027,Rafal Gorak,R. Gorak,Poland,attacking,3-4-3,60,29,11,20,48.3,1.77,1.3,42.44,25.0,53.3,58.3
polonia_ekstraklasa_2026_2027,Rafal Grzyb,R. Grzyb,Poland,attacking,4-1-4-1,14,5,2,7,35.7,1.86,1.64,51.33,21.4,71.4,71.4
polonia_ekstraklasa_2026_2027,Thomas Thomasberg,T. Thomasberg,Denmark,balanced,4-4-2,51,20,9,22,39.2,1.43,1.55,49.89,15.7,60.8,56.9
polonia_ekstraklasa_2026_2027,Tomasz Kaczmarek,T. Kaczmarek,Poland,balanced,4-1-4-1,20,8,7,5,40.0,1.65,1.5,47.7,20.0,75.0,65.0
polonia_ekstraklasa_2026_2027,Željko Kopić,Ž. Kopić,Croatia,balanced,4-3-3,57,22,19,16,38.6,1.44,1.16,58.11,28.1,57.9,43.9
