league,name,short_name,country,tactical_profile,preferred_formation,matches_total,wins,draws,losses,win_pct,avg_goals_scored,avg_goals_conceded,avg_possession,clean_sheet_pct,btts_pct,over_25_pct
portugal_liga_betclic_2026_2027,Alexandre Santos,A. Santos,Portugal,defensive,4-2-3-1,46,20,22,4,43.5,1.35,0.67,53.0,47.8,45.7,37.0
portugal_liga_betclic_2026_2027,Álvaro Pacheco,Á. Pacheco,Portugal,defensive,3-4-3,36,7,13,16,19.4,0.92,1.58,41.17,25.0,44.4,41.7
portugal_liga_betclic_2026_2027,Bruno Miguel Gonçalves Abreu,B. M. G. Abreu,Portugal,defensive,4-3-3,4,0,2,2,0.0,0.75,1.75,33.0,25.0,25.0,25.0
portugal_liga_betclic_2026_2027,Bruno Pinheiro,B. Pinheiro,Portugal,balanced,4-2-3-1,39,18,10,11,46.2,1.62,1.05,51.18,41.0,46.2,56.4
portugal_liga_betclic_2026_2027,Carlos Carvalhal,C. Carvalhal,Portugal,defensive,4-2-3-1,11,3,6,2,27.3,1.0,0.55,57.83,63.6,27.3,27.3
portugal_liga_betclic_2026_2027,Carlos Vicens,C. Vicens,Spain,attacking,3-4-2-1,68,39,19,10,57.4,1.85,0.85,59.54,48.5,45.6,54.4
portugal_liga_betclic_2026_2027,Cesar Peixoto,C. Peixoto,Portugal,balanced,4-2-3-1,47,21,13,13,44.7,1.57,1.13,50.0,38.3,48.9,57.4
portugal_liga_betclic_2026_2027,Cristiano Bacci,C. Bacci,Italy,balanced,3-4-3,34,6,12,16,17.6,1.12,1.65,46.82,23.5,47.1,52.9
portugal_liga_betclic_2026_2027,Custódio,Custódio,Portugal,balanced,3-4-3,34,10,9,15,29.4,1.03,1.53,44.94,17.6,55.9,50.0
portugal_liga_betclic_2026_2027,Filipe Coelho,F. Coelho,Portugal,defensive,4-3-3,6,1,1,4,16.7,0.67,2.83,44.8,16.7,33.3,50.0
portugal_liga_betclic_2026_2027,Filipe Coelho,F. Coelho,Portugal,attacking,3-4-3,70,37,18,15,52.9,1.71,0.99,56.74,37.1,50.0,47.1
portugal_liga_betclic_2026_2027,Francesco Farioli,F. Farioli,Italy,attacking,4-3-3,53,41,7,5,77.4,1.83,0.58,54.02,52.8,41.5,50.9
portugal_liga_betclic_2026_2027,Gil Lameiras,G. Lameiras,Portugal,balanced,4-2-3-1,71,26,18,27,36.6,1.15,1.27,52.27,35.2,46.5,42.3
portugal_liga_betclic_2026_2027,Gonçalo Feio,G. Feio,Portugal,defensive,4-2-3-1,34,6,10,18,17.6,0.79,1.62,43.56,20.6,35.3,50.0
portugal_liga_betclic_2026_2027,Hugo Oliveira,H. F. C. Oliveira,Portugal,balanced,4-2-3-1,51,25,14,12,49.0,1.39,0.96,52.81,39.2,43.1,45.1
portugal_liga_betclic_2026_2027,Ian Cathro,I. Cathro,Scotland,attacking,4-3-3,80,37,16,27,46.2,1.93,1.36,54.45,26.2,53.8,65.0
portugal_liga_betclic_2026_2027,João Gião,J. Gião,Portugal,balanced,3-4-2-1,4,1,1,2,25.0,1.5,1.5,52.5,25.0,50.0,50.0
portugal_liga_betclic_2026_2027,João Henriques,J. Henriques,Portugal,defensive,4-3-3,34,3,12,19,8.8,0.79,1.97,39.29,14.7,44.1,58.8
portugal_liga_betclic_2026_2027,José Mourinho,J. Mourinho,Portugal,attacking,4-2-3-1,57,36,13,8,63.2,1.96,0.82,55.09,40.4,49.1,61.4
portugal_liga_betclic_2026_2027,Luís Miguel Valado Tralhão,L. M. V. Tralhão,Portugal,balanced,4-3-3,42,20,9,13,47.6,1.38,1.02,49.17,40.5,33.3,47.6
portugal_liga_betclic_2026_2027,Luis Pinto,L. Pinto,Portugal,defensive,4-2-3-1,7,3,3,1,42.9,1.0,0.57,54.8,57.1,28.6,14.3
portugal_liga_betclic_2026_2027,Marco Silva,M. Silva,Portugal,attacking,4-2-3-1,56,27,10,19,48.2,1.71,1.2,54.53,26.8,57.1,57.1
portugal_liga_betclic_2026_2027,Mitchell van der Gaag,M. v. d. Gaag,Netherlands,balanced,4-2-3-1,39,23,7,9,59.0,1.54,0.97,52.28,38.5,48.7,46.2
portugal_liga_betclic_2026_2027,Pepa,Pepa,Portugal,attacking,4-2-3-1,11,5,5,1,45.5,1.91,1.27,47.0,27.3,72.7,54.5
portugal_liga_betclic_2026_2027,Petit,Petit,Portugal,balanced,4-2-3-1,46,16,13,17,34.8,1.17,1.04,48.31,37.0,41.3,39.1
portugal_liga_betclic_2026_2027,Ricardo Costa,R. Costa,Portugal,balanced,4-3-3,10,4,1,5,40.0,1.0,1.2,47.0,20.0,40.0,40.0
portugal_liga_betclic_2026_2027,Rui Borges,R. Borges,Portugal,attacking,4-2-3-1,55,39,10,6,70.9,2.58,0.84,58.51,40.0,56.4,72.7
portugal_liga_betclic_2026_2027,Sérgio Ricardo Oliveira Ferreira,S. R. O. Ferreira,Portugal,balanced,3-4-2-1,6,1,2,3,16.7,1.17,1.83,43.0,0.0,83.3,66.7
portugal_liga_betclic_2026_2027,Sotiris Sylaidopoulos,S. Sylaidopoulos,Greece,balanced,4-2-3-1,44,13,13,18,29.5,1.18,1.68,46.36,18.2,50.0,61.4
