league,name,short_name,country,tactical_profile,preferred_formation,matches_total,wins,draws,losses,win_pct,avg_goals_scored,avg_goals_conceded,avg_possession,clean_sheet_pct,btts_pct,over_25_pct
turquia_super_lig_2026_2027,Aleksandar Stanojević,A. Stanojević,Serbia,defensive,4-2-3-1,36,9,6,21,25.0,0.94,1.58,44.94,19.4,50.0,50.0
turquia_super_lig_2026_2027,Atila Gerin,A. Gerin,Türkiye,defensive,4-2-3-1,35,8,9,18,22.9,0.94,1.4,47.97,20.0,42.9,45.7
turquia_super_lig_2026_2027,Besnik Hasi,B. Hasi,Albania,balanced,4-4-1-1,7,5,1,1,71.4,1.57,0.57,47.33,57.1,28.6,28.6
turquia_super_lig_2026_2027,Emre Belözoğlu,E. Belözoğlu,Türkiye,balanced,4-2-3-1,44,14,15,15,31.8,1.11,1.2,42.39,34.1,50.0,38.6
turquia_super_lig_2026_2027,Erling Moe,E. Moe,Norway,defensive,4-2-3-1,34,6,12,16,17.6,0.79,1.82,47.03,20.6,50.0,50.0
turquia_super_lig_2026_2027,Fatih Tekke,F. Tekke,Türkiye,balanced,4-2-3-1,43,22,10,11,51.2,1.56,1.26,55.0,23.3,62.8,55.8
turquia_super_lig_2026_2027,İlhan Palut,I. Palut,Türkiye,balanced,4-2-3-1,42,12,10,20,28.6,1.21,1.55,51.19,19.0,61.9,57.1
turquia_super_lig_2026_2027,İsmail Kartal,I. Kartal,Türkiye,attacking,4-2-3-1,12,9,2,1,75.0,2.17,0.67,60.33,50.0,50.0,50.0
turquia_super_lig_2026_2027,João Pereira,J. Pereira,Portugal,balanced,3-4-3,41,9,19,13,22.0,1.2,1.2,47.24,29.3,61.0,43.9
turquia_super_lig_2026_2027,Metin Diyadin,M. Diyadin,Türkiye,balanced,4-1-4-1,39,12,8,19,30.8,1.08,1.36,43.11,20.5,51.3,53.8
turquia_super_lig_2026_2027,Mirel Radoi,M. Radoi,Romania,balanced,4-2-3-1,42,13,13,16,31.0,1.31,1.55,50.19,19.0,64.3,64.3
turquia_super_lig_2026_2027,Nuri Şahin,N. Şahin,Türkiye,balanced,4-2-3-1,48,19,14,15,39.6,1.54,1.15,54.85,31.2,62.5,56.2
turquia_super_lig_2026_2027,Okan Buruk,O. Buruk,Türkiye,attacking,4-2-3-1,54,32,8,14,59.3,2.07,1.2,58.67,29.6,53.7,66.7
turquia_super_lig_2026_2027,Önder Özen,Ö. Özen,,balanced,4-1-4-1,36,17,9,10,47.2,1.69,1.28,55.44,27.8,58.3,58.3
turquia_super_lig_2026_2027,Ozhan Pulat,O. Pulat,,,,0,0,0,0,,,,,,,
turquia_super_lig_2026_2027,Özhan Pulat,Ö. Pulat,Türkiye,defensive,4-2-3-1,5,3,0,2,60.0,1.0,0.6,51.0,40.0,20.0,20.0
turquia_super_lig_2026_2027,Recep Uçar,R. Ucar,Türkiye,balanced,4-2-3-1,46,17,13,16,37.0,1.37,1.37,50.51,26.1,56.5,60.9
turquia_super_lig_2026_2027,Sami Uğurlu,S. Uğurlu,Türkiye,defensive,4-2-3-1,34,8,8,18,23.5,0.97,1.62,44.94,26.5,50.0,50.0
turquia_super_lig_2026_2027,Selçuk İnan,S. Inan,Türkiye,defensive,4-3-3,39,11,11,17,28.2,0.79,1.13,49.68,28.2,38.5,25.6
turquia_super_lig_2026_2027,Serkan Özbalta,S. Ozbalta,Türkiye,defensive,4-1-4-1,5,1,2,2,20.0,0.8,1.8,51.33,20.0,40.0,60.0
turquia_super_lig_2026_2027,Stanimir Stoilov,S. Stoilov,Bulgaria,balanced,3-4-1-2,45,21,15,9,46.7,1.53,1.0,38.78,40.0,51.1,46.7
turquia_super_lig_2026_2027,Tamer Sivrikaya,T. Sivrikaya,Türkiye,,,0,0,0,0,,,,,,,
turquia_super_lig_2026_2027,Thorsten Fink,T. Fink,Germany,balanced,4-1-4-1,54,22,16,16,40.7,1.37,1.26,53.98,33.3,53.7,57.4
turquia_super_lig_2026_2027,Ugur Uçar,U. Uçar,Türkiye,,,0,0,0,0,,,,,,,
turquia_super_lig_2026_2027,Vincenzo Italiano,V. Italiano,Italy,balanced,4-1-4-1,72,34,16,22,47.2,1.36,1.11,55.94,33.3,45.8,43.1
turquia_super_lig_2026_2027,Zeki Murat Gole,Z. M. Gole,Türkiye,attacking,4-2-3-1,48,26,15,7,54.2,1.98,1.1,58.0,31.2,58.3,60.4
